Min,Max,Median,Mean,Point_id,date,Depth,POINTID,pH_CaCl2,pH_H2O,EC,OC,CaCO3,P,N,K,OC (20-30 cm),CaCO3 (20-30 cm),Ox_Al,Ox_Fe,NUTS_0,NUTS_1,NUTS_2,NUTS_3,TH_LAT,TH_LONG,SURVEY_DATE,Elev,LC,LU,LC0_Desc,LC1_Desc,LU1_Desc
0.12488171,0.1722792,0.14556092,0.14863405,48743058,2018-07-05,0-20 cm,48743058,6.1,6.69,9.13,13.2,,19.8,1.6,111.3,,,,,PL,PL5,PL52,PL523,50.36920684,17.78917753,10-07-18,253,B11,U111,Cropland,Common wheat,Agriculture (excluding fallow land and kitchen gardens)
0.4706281,0.6855294,0.5744542,0.5708806,48782830,2018-05-13,0-20 cm,48782830,7.4,7.89,20.9,19.4,28,< LOD,1.9,182.6,,,1.1,1.1,SK,SK0,SK02,SK021,48.32770319,17.52325374,21-05-18,137,B11,U111,Cropland,Common wheat,Agriculture (excluding fallow land and kitchen gardens)
0.09074723,0.15989971,0.10508801,0.105741605,48783016,2018-08-29,0-20 cm,48783016,6.3,6.87,14.22,11.4,2,45.9,1.5,121,,,0.5,1.3,CZ,CZ0,CZ08,CZ080,49.99022217,17.78325818,23-08-18,315,B11,U111,Cropland,Common wheat,Agriculture (excluding fallow land and kitchen gardens)
0.22208734,0.32428464,0.26563475,0.26490757,48803000,2018-08-29,0-20 cm,48803000,6.0,6.61,8.68,17.9,,15,2,101.3,,,,,CZ,CZ0,CZ08,CZ080,49.84538126,17.78768116,30-08-18,478,B11,U111,Cropland,Common wheat,Agriculture (excluding fallow land and kitchen gardens)
0.3731173,0.6708411,0.6106713,0.6019686,48803176,2018-06-07,0-20 cm,48803176,5.4,5.84,26.46,8.6,,127.8,1.3,179.5,,,,,PL,PL4,PL41,PL416,51.41694863,18.05429016,04-06-18,199,B11,U111,Cropland,Common wheat,Agriculture (excluding fallow land and kitchen gardens)
0.14112367,0.2649312,0.16752084,0.16919208,48842968,2018-08-29,0-20 cm,48842968,6.6,7.19,18.5,23.5,2,46,2.9,484.8,,,0.6,3.1,CZ,CZ0,CZ07,CZ071,49.55567832,17.79655417,27-08-18,317,B11,U111,Cropland,Common wheat,Agriculture (excluding fallow land and kitchen gardens)
0.074782416,0.18934642,0.09405385,0.107671864,48843022,2018-07-20,0-20 cm,48843022,5.9,6.24,25.84,19.4,,28.7,2.2,203.7,,,,,PL,PL5,PL52,PL523,50.03806979,17.87537779,18-07-18,340,B11,U111,Cropland,Common wheat,Agriculture (excluding fallow land and kitchen gardens)
0.21754998,0.33155653,0.27294403,0.2706546,48862692,2018-05-13,0-20 cm,48862692,4.9,5.92,4.37,7.8,,53.2,0.8,117.5,,,,,HU,HU2,HU21,HU213,47.08575648,17.44884485,10-05-18,189,B11,U111,Cropland,Common wheat,Agriculture (excluding fallow land and kitchen gardens)
0.1406377,0.6453947,0.28143787,0.34952015,48883228,2018-08-09,0-20 cm,48883228,6.1,6.55,9.24,8.7,,48.6,1.1,74.1,,,,,PL,PL4,PL41,PL416,51.87292912,18.25300053,12-08-18,159,B11,U111,Cropland,Common wheat,Agriculture (excluding fallow land and kitchen gardens)
0.09183643,0.15703478,0.10402279,0.11264612,48903214,2018-08-09,0-20 cm,48903214,4.6,5.3,10.08,10.2,,76.2,1.1,141.3,,,0.6,1.7,PL,PL4,PL41,PL416,51.74600204,18.25889174,13-08-18,161,B11,U111,Cropland,Common wheat,Agriculture (excluding fallow land and kitchen gardens)
0.09150567,0.41251203,0.11061235,0.12274086,48903466,2018-07-27,0-20 cm,48903466,5.2,5.76,15.91,11.6,1,79.2,1.4,210.1,,,,,PL,PL6,PL63,PL638,53.99278923,18.69813198,25-07-18,108,B11,U111,Cropland,Common wheat,Agriculture (excluding fallow land and kitchen gardens)
