Min,Max,Median,Mean,Point_id,date,Depth,POINTID,pH_CaCl2,pH_H2O,EC,OC,CaCO3,P,N,K,OC (20-30 cm),CaCO3 (20-30 cm),Ox_Al,Ox_Fe,NUTS_0,NUTS_1,NUTS_2,NUTS_3,TH_LAT,TH_LONG,SURVEY_DATE,Elev,LC,LU,LC0_Desc,LC1_Desc,LU1_Desc
-0.166757,0.0,-0.102561876,-0.06455676,30482108,2018-07-11,0-20 cm,30482108,6.5,7.02,5.95,4.2,,24.9,0.5,98.6,,,,,ES,ES4,ES41,ES415,40.91826065,-5.158704037,18-07-18,946,B11,U111,Cropland,Common wheat,Agriculture (excluding fallow land and kitchen gardens)
-0.02319273,0.03388075,0.0,-0.002079233,30482118,2018-06-26,0-20 cm,30482118,6.0,6.91,6.45,6.5,,48.3,0.8,210,,,,,ES,ES4,ES41,ES415,41.006656,-5.180472815,25-06-18,892,B11,U111,Cropland,Common wheat,Agriculture (excluding fallow land and kitchen gardens)
-0.21054304,0.0,-0.1299505,-0.080413,30482176,2018-07-06,0-20 cm,30482176,4.2,5.08,8.18,3.1,,34.9,0.5,89.1,,,,,ES,ES4,ES41,ES419,41.51904717,-5.308407592,02-07-18,762,B11,U111,Cropland,Common wheat,Agriculture (excluding fallow land and kitchen gardens)
0.0,0.5127441,0.28583404,0.2157873,30483342,2018-07-10,0-20 cm,30483342,6.5,6.86,28.52,27.3,3,47.7,3.3,252.1,,,1.8,5.7,IE,IE0,IE05,IE053,51.71099775,-8.652157827,17-07-18,75,B11,U111,Cropland,Common wheat,Agriculture (excluding fallow land and kitchen gardens)
-0.12978889,0.0,-0.09639865,-0.058970455,30502088,2018-07-26,0-20 cm,30502088,4.7,5.91,4.21,7.7,,33,1,104.3,,,,,ES,ES4,ES41,ES411,40.74501503,-5.092180733,20-07-18,1159,B11,U111,Cropland,Common wheat,Agriculture (excluding fallow land and kitchen gardens)
-0.015755001,0.08612539,0.0,0.016071243,30502124,2018-06-16,0-20 cm,30502124,6.6,7.18,8.13,4.9,1,34.5,0.6,120.8,,,,,ES,ES4,ES41,ES415,41.06329825,-5.170226062,19-06-18,864,B11,U111,Cropland,Common wheat,Agriculture (excluding fallow land and kitchen gardens)
-0.057483304,0.0,-0.04376182,-0.025976833,30502272,2018-07-29,0-20 cm,30502272,7.4,7.91,19.53,9.6,8,63.8,1.2,170.1,,,,,ES,ES4,ES41,ES413,42.3697196,-5.502804551,31-07-18,836,B11,U111,Cropland,Common wheat,Agriculture (excluding fallow land and kitchen gardens)
0.0,0.07673318,0.020689655,0.024398383,30522162,2018-07-11,0-20 cm,30522162,6.7,7.08,12.07,8,,25.3,1.1,241.9,,,0.6,0.7,ES,ES4,ES41,ES418,41.40267846,-5.230324549,05-07-18,721,B11,U111,Cropland,Common wheat,Agriculture (excluding fallow land and kitchen gardens)
0.0,0.53163326,0.399282,0.25357965,30522274,2018-06-14,0-20 cm,30522274,6.1,6.76,6.63,9.2,1,31.8,1.3,220.9,,,,,ES,ES4,ES41,ES413,42.39104993,-5.483600631,06-06-18,841,B11,U111,Cropland,Common wheat,Agriculture (excluding fallow land and kitchen gardens)
-0.19812427,0.0,-0.17015293,-0.09613876,30542218,2018-07-16,0-20 cm,30542218,6.8,7.11,12.33,7,,11.4,1.1,107.7,,,,,ES,ES4,ES41,ES419,41.90076008,-5.331921823,16-07-18,747,B11,U111,Cropland,Common wheat,Agriculture (excluding fallow land and kitchen gardens)
-0.2171734,0.0,-0.19554536,-0.10792306,30582258,2018-07-24,0-20 cm,30582258,7.4,7.78,13.26,5.1,2,11,0.8,96,,,,,ES,ES4,ES41,ES413,42.2610028,-5.375380291,24-07-18,909,B11,U111,Cropland,Common wheat,Agriculture (excluding fallow land and kitchen gardens)
0.0,0.20260198,0.15063895,0.08872773,30602264,2018-06-11,0-20 cm,30602264,6.5,7.21,6.52,4.4,1,< LOD,0.7,86.3,,,0.5,3.0,ES,ES4,ES41,ES413,42.31759352,-5.365310241,12-06-18,939,B11,U111,Cropland,Common wheat,Agriculture (excluding fallow land and kitchen gardens)
-0.15971439,0.0,-0.08065991,-0.06687367,30622150,2018-06-16,0-20 cm,30622150,6.4,6.91,10.77,4.6,,31.3,0.6,139.2,,,,,ES,ES4,ES41,ES418,41.31469819,-5.086641471,07-06-18,797,B11,U111,Cropland,Common wheat,Agriculture (excluding fallow land and kitchen gardens)
0.0,0.20518948,0.08631972,0.07433977,30642134,2018-06-16,0-20 cm,30642134,6.3,6.65,14.25,3.6,,36.1,0.5,159.9,,,0.8,0.7,ES,ES4,ES41,ES418,41.17684975,-5.028374228,13-06-18,820,B11,U111,Cropland,Common wheat,Agriculture (excluding fallow land and kitchen gardens)
0.0,0.38241246,0.25405735,0.17566326,30662190,2018-06-16,0-20 cm,30662190,7.6,8.07,22.91,11.3,588,28.4,1.6,313.2,,,0.3,0.3,ES,ES4,ES41,ES418,41.67532111,-5.127623487,13-06-18,876,B11,U111,Cropland,Common wheat,Agriculture (excluding fallow land and kitchen gardens)
